"user_index","lapse_risk","lapse_risk_change","temperature","formality","message_category","generated_message"
"3","low","increasing","0.7","informal","Acknowledging","It seems like you're in a pretty steady spot with your recovery right now, even though your lapse risk is low and starting to rise a bit. Maybe you're feeling a little more tension or pressure lately, or maybe it's just one of those times where things feel a bit heavier. Whatever it is, it’s okay to sit with those feelings and let yourself notice what’s coming up. You’ve been doing great work, and taking a moment to check in with yourself can be a powerful way to keep moving forward."
"4","low","decreasing","0.7","informal","Acknowledging","It seems like you've been putting in a lot of effort, and it's paying off. Your lapse risk is low and even getting lower, which might give you a sense of relief or maybe even pride. If you're feeling more steady or confident right now, that's worth noticing and sitting with. Whatever emotions are coming up for you, they're part of your journey, so take a moment to honor where you are today."
"1","high","increasing","0.7","informal","Value Affirmation","Your lapse risk is high and increasing, but recovery is about keeping focus on what really matters to you. Whether it’s your family, your health, or building the future you want, every step you take today helps protect those priorities. Staying engaged right now can help you stay connected to the goals that light you up inside and keep you moving forward."
"2","high","decreasing","0.7","informal","Value Affirmation","Your lapse risk is high and on its way down, which shows the effort you're putting in is paying off. Staying focused on what matters most to you—whether it's your health, your loved ones, or your personal goals—can help keep that momentum going. Every time you engage with this process, you're reinforcing the foundation for a life that aligns with your priorities. Keep leaning into what drives you, because you're creating something meaningful for yourself."
"3","low","increasing","0.7","informal","Value Affirmation","Your lapse risk is low and increasing, but you’ve been putting in real effort, and that matters. Think about the things that mean the most to you—whether it’s your health, your family, or building a better future for yourself. Every step you take in recovery is helping you protect those priorities and stay true to what’s important. Keep leaning into this process, because it’s all connected to the life you want to create."
"4","low","decreasing","0.7","informal","Value Affirmation","Your lapse risk is low and dropping, which shows the solid progress you're making. Staying on track like this helps you keep showing up for the things that matter most, whether that's your family, your health, or your personal goals. Every step forward strengthens those priorities and brings you closer to the life you’re working toward. Keep leaning into what matters most to you—it’s paying off."
"1","high","increasing","0.7","informal","Norms","Your lapse risk is high and increasing, but you’re not alone in this. A lot of people who’ve been in your shoes have faced tough moments like this and still found ways to move forward. Many have used the tools here to cut down cravings and handle stress, and it’s helped them feel more in control over time. You’re part of a community of folks working through similar challenges, and progress is always possible."
"2","high","decreasing","0.7","informal","Norms","Your lapse risk is high and decreasing, which means you're moving in the right direction. Lots of people who’ve been where you are have felt the same challenges, but they’ve used this app to handle stress and cravings, and it’s worked for them. You’re not alone in this—others have taken small steps forward just like you are, and it’s made a big difference. Keep leaning into the process, and know that progress like this is something to be proud of."
"3","low","increasing","0.7","informal","Norms","Your lapse risk is low right now, though it’s starting to go up. Lots of people with similar experiences have felt the same way at times, but they’ve been able to use the app to tackle cravings and handle stress. You’re not alone in this—others have worked through their ups and downs and found real progress. It’s all part of the journey, and you’re moving forward like they did."
"4","low","decreasing","0.7","informal","Norms","Your lapse risk is low and getting even lower, which is awesome progress. Lots of people who've been in your shoes have used this app to tackle cravings and handle stress, and they've found it really works. You're not alone in this—others have faced challenges too, but they've found their stride and kept moving forward. It's clear you're on the same path, and that's something to feel good about."
